Parameter,Parameter_CN,Count,Mean,Std,Median,Min,Max,Range,Q1,Q3,IQR,Skewness,Kurtosis,CV,Shapiro_W,Shapiro_p
I0,截面质量I0,2550,3.912493899706667,6.205570455441902,1.7633771,0.029539663,85.61028,85.58074033700001,0.67610375,4.39662345,3.7205196999999997,4.386827830287182,30.544044223029033,1.5860907683222598,0.575537359137262,1.10761310870261e-61
A11,压缩刚度A11,2550,99733249.92405882,160036322.36852056,44767500.0,658827.3,1731425300.0,1730766472.7,16842154.5,112734047.5,95891893.0,4.177196507005012,24.563661346482945,1.6046436117381022,0.5710450949954831,7.072692689012968e-62
B11,压-弯耦合刚度B11,2550,6290.596675062126,58203.894869147014,6.76653825,-457138.34,1033067.0,1490205.34,-197.5346125,2804.485025,3002.0196375,8.541834928813234,134.5962809266888,9.252523707311466,0.27912926400964355,7.118523783533799e-72
D11,弯曲刚度D11,2550,2564.4183560462684,13097.34903008805,136.11466000000001,0.091498315,364795.3,364795.208501685,22.562410749999998,772.87774,750.31532925,13.700753137395102,278.9058285045112,5.107337107928478,0.17287489648314913,1.1905842280154562e-74
L,跨径L,2550,1.7540782249647058,0.7138365498003097,1.7503992,0.50019056,2.9993405,2.49914994,1.14923045,2.36631685,1.2170864000000001,-0.00214978593897788,-1.165560185991509,0.4069582186476735,0.9578395068088603,1.4185237223357163e-26
f,拱高f,2550,0.24802987080862746,0.15193690155914874,0.21277105,0.0403302,0.9178639,0.8775337,0.1399995925,0.31939071500000005,0.17939112250000006,1.304587002763422,1.8076714920633528,0.6125750139037841,0.8990126802062994,4.5256907258342604e-38
b,拱截面宽b,2550,0.07511367136917646,0.05277614170835515,0.061505023500000006,0.005553542,0.28885674,0.283303198,0.03461526375,0.1013240285,0.06670876475,1.1936141993561165,1.1751109431454712,0.70261699030747,0.8988228976661994,4.2524657111979853e-38
h,拱截面高h,2550,0.007559829353490197,0.005608557070871959,0.00613589885,0.001028741,0.05406811,0.053039369,0.003974501925,0.00926079525,0.005286293325,2.3230362625584084,8.364957198074926,0.7418893745640724,0.800801597776188,1.6457571407059904e-48
S,拱长S,2550,1.8556745541254902,0.760915071781771,1.8491071,0.5113354,3.5579648,3.0466294,1.216698025,2.486531725,1.2698337,0.03353594244514395,-1.1112788044865407,0.41004769402593966,0.9651111868031783,2.279968989696365e-24
lambda,长细比λ,2550,1061.7677968509804,413.3129488226213,1078.2636499999999,149.5923,1832.44,1682.8477,718.7804275000001,1411.4678250000002,692.6873975000001,-0.12373014054901456,-1.0550508314974762,0.3892686800715147,0.9674638112326589,1.399015817805959e-23
KXL,KXL,2550,6.354405010768236,3.3454448681413407,6.818582,0.110134944,10.0,9.889865056,3.373079525,10.0,6.626920475,-0.3319085948586409,-1.3340053752861063,0.5264764934674635,0.8757864812033984,4.107132105942815e-41
KYL,KYL,2550,6.494635161070588,3.30629218451123,7.167418,0.12452375,10.0,9.87547625,3.492878575,10.0,6.507121424999999,-0.40464781827699964,-1.285036438529165,0.5090805106851013,0.8710547189668411,1.1249302065790274e-41
KZL,KZL,2550,480.6416502846235,362.82722905542977,463.61963000000003,0.0,1000.0,1000.0,127.59607125,825.7937374999999,698.1976662499999,0.08507364354500517,-1.4309936718632545,0.7548809572382521,0.8970662081594615,2.400082888281581e-38
KXR,KXR,2550,6.37022684542549,3.369729727236313,6.87492965,0.100701526,10.0,9.899298474,3.3241333749999997,10.0,6.675866625,-0.3494807984291888,-1.3384027062479047,0.5289811193546651,0.871884526363742,1.407769810021714e-41
KYR,KYR,2550,6.4337650600392156,3.3016146086442237,6.98425765,0.10424071,10.0,9.89575929,3.375993825,10.0,6.624006175,-0.37237056128439006,-1.3018488981278782,0.5131699056204112,0.8756854127024272,3.993426131860036e-41
KZR,KZR,2550,484.61189828821176,364.6766757947092,465.78305,0.0,1000.0,1000.0,127.5568775,837.644,710.0871225,0.07159073820075541,-1.453924300456266,0.7525128398267806,0.8947414936382156,1.1393851507337824e-38
